mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
352,110,500,5263,-61.725997924805,12.019729614258,-1.0,1000.0,1
352,110,500,5285,-61.77269,12.010803,-1.0,1000.0,2
352,110,500,63578,-61.694412231445,12.021102905273,-1.0,1000.0,6
352,110,501,26011,-61.643504,12.072111,-1.0,5912.0,14
352,110,501,26012,-61.671066,12.038818,-1.0,2580.0,10
352,110,501,26013,-61.669235,12.042618,-1.0,1944.0,3
352,110,501,26014,-61.659786,12.045037,-1.0,2522.0,14
352,110,501,26015,-61.681972,12.033947,-1.0,3007.0,17
352,110,501,26021,-61.514511108398,12.457809448242,-1.0,1000.0,1
352,110,501,26022,-61.456832885742,12.592391967773,-1.0,1000.0,1
352,110,501,26024,-61.525659,12.425545,-1.0,25622.0,10
352,110,501,26025,-61.491852,12.481842,-1.0,1000.0,2
352,110,501,26031,-61.742477416992,12.052688598633,-1.0,1000.0,1
352,110,501,26032,-61.747970581055,12.052688598633,-1.0,1000.0,1
352,110,501,26051,-61.67106628418,12.02522277832,-1.0,1000.0,1
352,110,501,26052,-61.69274,12.029911,-1.0,3873.0,382
352,110,501,26053,-61.69487,12.038956,-1.0,1848.0,3
352,110,501,26054,-61.691665,12.035523,-1.0,1979.0,2
352,110,501,26055,-61.698607,12.029,-1.0,5792.0,92
352,110,501,26056,-61.683975,12.040879,-1.0,2640.0,5
352,110,501,26066,-61.760330200195,12.01286315918,-1.0,1000.0,1
352,110,501,26071,-61.754918,12.082497,-1.0,1000.0,17
352,110,501,26072,-61.748167,12.057593,-1.0,1000.0,7
352,110,501,26073,-61.754445,12.049746,-1.0,1377.0,7
352,110,501,26074,-61.74934387207,12.082901000977,-1.0,1000.0,1
352,110,501,26075,-61.741104,12.053375,-1.0,1000.0,2
352,110,501,26076,-61.743850708008,12.052688598633,-1.0,1000.0,1
352,110,501,26081,-61.741791,12.052002,-1.0,1000.0,2
352,110,501,26082,-61.745224,12.050629,-1.0,1000.0,2
352,110,501,26083,-61.754837036133,12.044448852539,-1.0,1000.0,1
352,110,501,26084,-61.753463745117,12.049942016602,-1.0,1000.0,1
352,110,501,26085,-61.744537,12.047882,-1.0,1000.0,2
352,110,501,26086,-61.759938,12.026596,-1.0,1000.0,7
352,110,501,26091,-61.758652,12.019882,-1.0,1190.0,18
352,110,501,26092,-61.746598,12.012865,-1.0,5749.0,6
352,110,501,26093,-61.776712,12.012078,-1.0,1000.0,14
352,110,501,26094,-61.760919,12.023457,-1.0,1000.0,7
352,110,501,26095,-61.766739,12.010574,-1.0,1000.0,3
352,110,501,26096,-61.776657,12.012558,-1.0,1000.0,9
352,110,501,26101,-61.715423,12.050354,-1.0,2618.0,10
352,110,501,26102,-61.7348,12.042702,-1.0,3985.0,22
352,110,501,26103,-61.74675,12.04628,-1.0,1189.0,9
352,110,501,26104,-61.73698425293,12.062301635742,-1.0,1000.0,1
352,110,501,26105,-61.725998,12.039871,-1.0,1000.0,3
352,110,501,26106,-61.756210327148,12.036209106445,-1.0,1000.0,1
352,110,501,26111,-61.754911,12.042631,-1.0,5996.0,37
352,110,501,26112,-61.760330200195,12.021102905273,-1.0,1000.0,1
352,110,501,26113,-61.774063,12.045994,-1.0,1000.0,8
352,110,501,26114,-61.774259,12.050531,-1.0,1157.0,7
352,110,501,26115,-61.758133,12.022202,-1.0,1000.0,5
352,110,501,26116,-61.774063,12.04628,-1.0,1000.0,3
352,110,501,26122,-61.739730834961,12.14469909668,-1.0,1000.0,1
352,110,501,26123,-61.743853,12.129593,-1.0,5348.0,10
352,110,501,26126,-61.739216,12.144699,-1.0,1000.0,8
352,110,501,26134,-61.710205,12.084274,-1.0,1000.0,2
352,110,501,26135,-61.725082,12.074661,-1.0,1540.0,3
352,110,501,26136,-61.72142,12.085648,-1.0,1000.0,3
352,110,501,26145,-61.757583618164,12.092514038086,-1.0,1000.0,1
352,110,501,26146,-61.758368,12.083097,-1.0,1051.0,7
352,110,501,26151,-61.624374389648,12.139205932617,-1.0,1000.0,3
352,110,501,26153,-61.628037,12.1241,-1.0,1000.0,3
352,110,501,26154,-61.624374389648,12.139205932617,-1.0,1000.0,2
352,110,501,26156,-61.699905395508,12.108993530273,-1.0,1000.0,1
352,110,501,26162,-61.674497,12.082902,-1.0,4006.0,2
352,110,501,26165,-61.699905395508,12.108993530273,-1.0,1000.0,1
352,110,501,26166,-61.699905395508,12.108993530273,-1.0,1000.0,1
352,110,501,26171,-61.625748,12.100067,-1.0,1000.0,14
352,110,501,26172,-61.638107299805,12.067794799805,-1.0,1000.0,1
352,110,501,26173,-61.646073,12.059555,-1.0,1838.0,5
352,110,501,26174,-61.638107,12.111053,-1.0,2482.0,6
352,110,501,26175,-61.63971,12.059326,-1.0,2387.0,6
352,110,501,26176,-61.635818,12.063675,-1.0,1000.0,3
352,110,501,26184,-61.61750793457,12.313613891602,-1.0,1000.0,1
352,110,501,26194,-61.753463745117,11.992263793945,-1.0,1000.0,3
352,110,501,26215,-61.653214,12.244034,-1.0,2562.0,3
352,110,501,26216,-61.652298,12.246323,-1.0,3094.0,3
352,110,501,26224,-61.705775,12.045102,-1.0,3904.0,303
352,110,501,26225,-61.726576,12.051388,-1.0,3282.0,76
352,110,501,26226,-61.734924,12.066422,-1.0,1000.0,2
352,110,501,26234,-61.71501159668,12.080154418945,-1.0,1000.0,1
352,110,501,26235,-61.750889,12.084103,-1.0,2889.0,16
352,110,501,26236,-61.719131,12.080841,-1.0,1000.0,2
352,110,501,26242,-61.491623,12.480927,-1.0,1000.0,6
352,110,501,26243,-61.495285,12.479782,-1.0,1000.0,2
352,110,501,26244,-61.456832885742,12.592391967773,-1.0,1000.0,1
352,110,501,26245,-61.527444,12.426918,-1.0,25645.0,10
352,110,501,26246,-61.484472,12.503472,-1.0,10333.0,8
352,110,501,26251,-61.746597,12.060242,-1.0,1000.0,2
352,110,501,26252,-61.748428,12.049713,-1.0,1000.0,6
352,110,501,26253,-61.753463745117,12.052688598633,-1.0,1000.0,1
352,110,501,26254,-61.739730834961,12.060928344727,-1.0,1000.0,1
352,110,501,26255,-61.743851,12.054749,-1.0,1000.0,2
352,110,501,26256,-61.746597290039,12.052688598633,-1.0,1000.0,1
352,110,501,26261,-61.699606,12.037344,-1.0,2798.0,426
352,110,501,26262,-61.698029,12.015644,-1.0,4707.0,41
352,110,501,26263,-61.711775,12.025811,-1.0,2888.0,14
352,110,501,26264,-61.708276,12.038302,-1.0,3699.0,42
